[2025-08-18 08:12:20,369: INFO: __init__: Data Ingestion Started]
[2025-08-18 08:12:22,676: ERROR: multi: 1 Failed download:]
[2025-08-18 08:12:22,676: ERROR: multi: ['HUM']: ValueError("time data '01-01-2025' does not match format '%Y-%m-%d'")]
[2025-08-18 08:12:22,679: INFO: __init__: Data Ingestion Ended]
[2025-08-18 08:12:56,817: INFO: __init__: Data Ingestion Started]
[2025-08-18 08:12:57,706: INFO: __init__: Data Ingestion Ended]
[2025-08-18 08:14:19,232: INFO: __init__: Data Ingestion Started]
[2025-08-18 08:14:21,212: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-18 08:25:08,330: INFO: __init__: Data Ingestion Started]
[2025-08-18 08:25:08,986: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-18 08:25:08,986: INFO: __init__: Data Preprocessing Started]
[2025-08-18 08:25:08,986: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-18 08:26:03,961: INFO: __init__: Data Ingestion Started]
[2025-08-18 08:26:04,718: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-18 08:26:04,718: INFO: __init__: Data Preprocessing Started]
[2025-08-18 08:26:04,718: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:17:46,163: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:17:55,592: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:17:55,592: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:17:55,594: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:23:54,933: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:23:56,887: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:23:56,889: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:23:56,893: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:23:56,893: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:23:57,326: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:27:16,207: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:27:18,314: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:27:18,314: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:27:18,314: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:27:18,314: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:27:18,433: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:29:27,299: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:29:28,299: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:29:28,300: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:29:28,304: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:29:28,314: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:29:28,388: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:29:40,460: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:29:41,017: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:29:41,018: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:29:41,019: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:29:41,019: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:29:41,028: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:29:45,498: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:29:45,537: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:29:45,537: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:29:45,539: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:29:45,540: INFO: __init__: Data Presentation Begins]
[2025-08-19 07:29:45,548: INFO: __init__: Data Presentation Completed]
[2025-08-19 07:29:46,721: INFO: __init__: Data Ingestion Started]
